Method,K-Value,Silhouette Score
NR,2,0.302949953928374
PCA,2,0.5621713285918973
K-PCA,2,0.6451851459876079
RP,2,0.5582375440866183
t-SNE,2,0.5989766120910645
NR,3,0.30894422454915343
PCA,3,0.5383549761919528
K-PCA,3,0.6029126178810641
RP,3,0.5375367088038412
t-SNE,3,0.5757566690444946
NR,4,0.216781154835618
PCA,4,0.5198764161425552
K-PCA,4,0.5893376944195781
RP,4,0.5271627694669091
t-SNE,4,0.5519558191299438
NR,5,0.222193316449938
PCA,5,0.522674303078312
K-PCA,5,0.5821220396991295
RP,5,0.5295111092261039
t-SNE,5,0.5447586178779602
NR,6,0.1610101079312984
PCA,6,0.524843735748945
K-PCA,6,0.5674036909697284
RP,6,0.5233241032646724
t-SNE,6,0.5457339882850647
NR,2,0.302949953928374
PCA,2,0.5269970883469342
K-PCA,2,0.43943039529523786
RP,2,0.44806655926517763
t-SNE,2,0.3676604926586151
NR,3,0.30894422454915343
PCA,3,0.5377081701628452
K-PCA,3,0.46549124899357347
RP,3,0.39233246094355717
t-SNE,3,0.40185683965682983
NR,4,0.216781154835618
PCA,4,0.5002804258647113
K-PCA,4,0.43453749626940313
RP,4,0.39730209808249817
t-SNE,4,0.39370349049568176
NR,5,0.222193316449938
PCA,5,0.46767811523893477
K-PCA,5,0.39698822088829433
RP,5,0.3459980618932378
t-SNE,5,0.41864484548568726
NR,6,0.1610101079312984
PCA,6,0.45671293788622364
K-PCA,6,0.42591131080026395
RP,6,0.33355334654100843
t-SNE,6,0.40457943081855774
NR,2,0.302949953928374
PCA,2,0.42888705375287345
K-PCA,2,0.3548129275435026
RP,2,0.4047038931341487
t-SNE,2,0.3174670934677124
NR,3,0.30894422454915343
PCA,3,0.35085235622252914
K-PCA,3,0.3548715406526043
RP,3,0.4091193183281615
t-SNE,3,0.33736711740493774
NR,4,0.216781154835618
PCA,4,0.36060259211270584
K-PCA,4,0.38900564161945106
RP,4,0.328545322206695
t-SNE,4,0.3456316888332367
NR,5,0.222193316449938
PCA,5,0.3583163151605271
K-PCA,5,0.3611171005615968
RP,5,0.3388775432366492
t-SNE,5,0.3555584251880646
NR,6,0.1610101079312984
PCA,6,0.3342544662868038
K-PCA,6,0.3583159334607594
RP,6,0.2822009141725856
t-SNE,6,0.3430598974227905
